qid,original_qid,task,model_choice,correct_choice,is_correct,confidence,latency_ms,prob_a,prob_b
GRID-0001_stage1,GRID-0001,Grid,A,A,True,3,1021.5623378753662,0.62109375,0.376953125
GRID-0002_stage1,GRID-0002,Grid,A,A,True,3,289.77489471435547,0.65234375,0.34765625
GRID-0003_stage1,GRID-0003,Grid,B,B,True,3,288.5632514953613,0.46875,0.53125
GRID-0004_stage1,GRID-0004,Grid,A,B,False,3,301.4869689941406,0.5,0.5
GRID-0005_stage1,GRID-0005,Grid,A,A,True,3,297.00231552124023,0.73046875,0.26953125
GRID-0006_stage1,GRID-0006,Grid,A,A,True,3,287.5046730041504,0.81640625,0.1826171875
GRID-0007_stage1,GRID-0007,Grid,B,B,True,3,289.9951934814453,0.4375,0.5625
GRID-0008_stage1,GRID-0008,Grid,A,B,False,3,293.3962345123291,0.70703125,0.294921875
GRID-0009_stage1,GRID-0009,Grid,A,A,True,3,291.19133949279785,0.77734375,0.22265625
GRID-0010_stage1,GRID-0010,Grid,A,A,True,3,289.43753242492676,0.75390625,0.2451171875
GRID-0011_stage1,GRID-0011,Grid,A,B,False,3,290.2238368988037,0.53125,0.46875
GRID-0012_stage1,GRID-0012,Grid,B,A,False,3,287.2486114501953,0.40625,0.59375
GRID-0013_stage1,GRID-0013,Grid,A,A,True,3,283.97178649902344,0.5,0.5
GRID-0014_stage1,GRID-0014,Grid,A,B,False,3,286.7321968078613,0.5625,0.4375
GRID-0015_stage1,GRID-0015,Grid,A,A,True,3,313.08960914611816,0.9609375,0.037353515625
GRID-0016_stage1,GRID-0016,Grid,A,A,True,3,293.6830520629883,0.73046875,0.26953125
GRID-0017_stage1,GRID-0017,Grid,A,B,False,3,296.614408493042,0.59375,0.40625
GRID-0018_stage1,GRID-0018,Grid,A,A,True,3,286.88597679138184,0.62109375,0.376953125
GRID-0019_stage1,GRID-0019,Grid,A,B,False,3,304.1839599609375,0.81640625,0.1826171875
GRID-0020_stage1,GRID-0020,Grid,A,A,True,3,291.35656356811523,0.89453125,0.1064453125
GRID-0021_stage1,GRID-0021,Grid,A,A,True,3,323.9140510559082,0.87890625,0.119140625
GRID-0022_stage1,GRID-0022,Grid,A,A,True,3,302.25205421447754,0.92578125,0.07568359375
GRID-0023_stage1,GRID-0023,Grid,A,B,False,3,289.257287979126,0.796875,0.2021484375
GRID-0024_stage1,GRID-0024,Grid,A,B,False,3,288.2039546966553,0.53125,0.46875
GRID-0025_stage1,GRID-0025,Grid,A,A,True,3,382.59291648864746,0.89453125,0.1064453125
GRID-0026_stage1,GRID-0026,Grid,A,A,True,3,290.61174392700195,0.89453125,0.1064453125
GRID-0027_stage1,GRID-0027,Grid,A,A,True,3,284.3213081359863,0.8671875,0.1328125
GRID-0028_stage1,GRID-0028,Grid,A,B,False,3,284.61360931396484,0.8359375,0.1640625
GRID-0029_stage1,GRID-0029,Grid,A,A,True,3,284.4846248626709,0.89453125,0.1064453125
GRID-0030_stage1,GRID-0030,Grid,A,B,False,3,291.9645309448242,0.77734375,0.22265625
GRID-0031_stage1,GRID-0031,Grid,A,A,True,3,284.14082527160645,0.8671875,0.1328125
GRID-0032_stage1,GRID-0032,Grid,A,B,False,3,283.88094902038574,0.8359375,0.1640625
GRID-0033_stage1,GRID-0033,Grid,A,A,True,3,284.3759059906006,0.8515625,0.1484375
GRID-0034_stage1,GRID-0034,Grid,A,A,True,3,284.58547592163086,0.73046875,0.26953125
