filename,grid_size,xo_ratio,distribution,num_O,num_X
xo_10x10_100pctO_uniform.png,10,100%O,uniform,100,0
xo_10x10_100pctO_random.png,10,100%O,random,100,0
xo_10x10_100pctO_clustered.png,10,100%O,clustered,100,0
xo_10x10_100pctO_symmetric.png,10,100%O,symmetric,100,0
xo_10x10_90pctO_uniform.png,10,90%O,uniform,90,10
xo_10x10_90pctO_random.png,10,90%O,random,90,10
xo_10x10_90pctO_clustered.png,10,90%O,clustered,90,10
xo_10x10_90pctO_symmetric.png,10,90%O,symmetric,92,8
xo_10x10_70pctO_uniform.png,10,70%O,uniform,70,30
xo_10x10_70pctO_random.png,10,70%O,random,70,30
xo_10x10_70pctO_clustered.png,10,70%O,clustered,70,30
xo_10x10_70pctO_symmetric.png,10,70%O,symmetric,70,30
xo_10x10_50_50_uniform.png,10,50/50,uniform,50,50
xo_10x10_50_50_random.png,10,50/50,random,50,50
xo_10x10_50_50_clustered.png,10,50/50,clustered,50,50
xo_10x10_50_50_symmetric.png,10,50/50,symmetric,48,52
xo_10x10_70pctX_uniform.png,10,70%X,uniform,30,70
xo_10x10_70pctX_random.png,10,70%X,random,30,70
xo_10x10_70pctX_clustered.png,10,70%X,clustered,30,70
xo_10x10_70pctX_symmetric.png,10,70%X,symmetric,26,74
xo_10x10_90pctX_uniform.png,10,90%X,uniform,10,90
xo_10x10_90pctX_random.png,10,90%X,random,10,90
xo_10x10_90pctX_clustered.png,10,90%X,clustered,10,90
xo_10x10_90pctX_symmetric.png,10,90%X,symmetric,10,90
xo_10x10_100pctX_uniform.png,10,100%X,uniform,0,100
xo_10x10_100pctX_random.png,10,100%X,random,0,100
xo_10x10_100pctX_clustered.png,10,100%X,clustered,0,100
xo_10x10_100pctX_symmetric.png,10,100%X,symmetric,0,100
xo_15x15_100pctO_uniform.png,15,100%O,uniform,225,0
xo_15x15_100pctO_random.png,15,100%O,random,225,0
xo_15x15_100pctO_clustered.png,15,100%O,clustered,225,0
xo_15x15_100pctO_symmetric.png,15,100%O,symmetric,225,0
xo_15x15_90pctO_uniform.png,15,90%O,uniform,202,23
xo_15x15_90pctO_random.png,15,90%O,random,202,23
xo_15x15_90pctO_clustered.png,15,90%O,clustered,202,23
xo_15x15_90pctO_symmetric.png,15,90%O,symmetric,205,20
xo_15x15_70pctO_uniform.png,15,70%O,uniform,158,67
xo_15x15_70pctO_random.png,15,70%O,random,158,67
xo_15x15_70pctO_clustered.png,15,70%O,clustered,158,67
xo_15x15_70pctO_symmetric.png,15,70%O,symmetric,156,69
xo_15x15_50_50_uniform.png,15,50/50,uniform,112,113
xo_15x15_50_50_random.png,15,50/50,random,112,113
xo_15x15_50_50_clustered.png,15,50/50,clustered,112,113
xo_15x15_50_50_symmetric.png,15,50/50,symmetric,119,106
xo_15x15_70pctX_uniform.png,15,70%X,uniform,68,157
xo_15x15_70pctX_random.png,15,70%X,random,68,157
xo_15x15_70pctX_clustered.png,15,70%X,clustered,68,157
xo_15x15_70pctX_symmetric.png,15,70%X,symmetric,70,155
xo_15x15_90pctX_uniform.png,15,90%X,uniform,22,203
xo_15x15_90pctX_random.png,15,90%X,random,22,203
xo_15x15_90pctX_clustered.png,15,90%X,clustered,22,203
xo_15x15_90pctX_symmetric.png,15,90%X,symmetric,22,203
xo_15x15_100pctX_uniform.png,15,100%X,uniform,0,225
xo_15x15_100pctX_random.png,15,100%X,random,0,225
xo_15x15_100pctX_clustered.png,15,100%X,clustered,0,225
xo_15x15_100pctX_symmetric.png,15,100%X,symmetric,0,225
xo_20x20_100pctO_uniform.png,20,100%O,uniform,400,0
xo_20x20_100pctO_random.png,20,100%O,random,400,0
xo_20x20_100pctO_clustered.png,20,100%O,clustered,400,0
xo_20x20_100pctO_symmetric.png,20,100%O,symmetric,400,0
xo_20x20_90pctO_uniform.png,20,90%O,uniform,360,40
