session_id,trial_id,model,perceptual_choice,confidence,response_time,correct_answer,correct,target_contrast,first_contrast,second_contrast,first_location,second_location,timestamp
20250524_165340,20250524_165340_trial_001,claude-3-5-sonnet-20240620,1,4,4.979237079620361,1,True,0.5,0.5,0.35,5,3,2025-05-24T16:53:40.719044
20250524_165340,20250524_165340_trial_002,claude-3-5-sonnet-20240620,1,3,4.213073015213013,1,True,0.5,0.5,0.35,0,5,2025-05-24T16:53:46.712655
20250524_165340,20250524_165340_trial_003,claude-3-5-sonnet-20240620,1,3,4.217266798019409,2,False,0.5,0.35,0.5,4,1,2025-05-24T16:53:51.944953
20250524_165340,20250524_165340_trial_004,claude-3-5-sonnet-20240620,1,4,3.9942219257354736,2,False,0.52,0.364,0.52,5,0,2025-05-24T16:53:57.179893
20250524_165340,20250524_165340_trial_005,claude-3-5-sonnet-20240620,1,3,3.205061912536621,2,False,0.54,0.378,0.54,4,0,2025-05-24T16:54:02.190870
20250524_165340,20250524_165340_trial_006,claude-3-5-sonnet-20240620,1,3,3.298978090286255,1,True,0.56,0.56,0.392,2,0,2025-05-24T16:54:06.413624
20250524_165340,20250524_165340_trial_007,claude-3-5-sonnet-20240620,1,3,4.811046838760376,2,False,0.5800000000000001,0.406,0.5800000000000001,2,5,2025-05-24T16:54:10.723964
20250524_165340,20250524_165340_trial_008,claude-3-5-sonnet-20240620,2,4,3.7688310146331787,2,True,0.6000000000000001,0.42000000000000004,0.6000000000000001,1,4,2025-05-24T16:54:16.553666
20250524_165340,20250524_165340_trial_009,claude-3-5-sonnet-20240620,1,3,4.034472942352295,1,True,0.6200000000000001,0.6200000000000001,0.43400000000000005,3,4,2025-05-24T16:54:21.342553
20250524_165340,20250524_165340_trial_010,claude-3-5-sonnet-20240620,1,4,3.135761022567749,1,True,0.6400000000000001,0.6400000000000001,0.44800000000000006,5,3,2025-05-24T16:54:26.392730
20250524_165340,20250524_165340_trial_011,claude-3-5-sonnet-20240620,1,3,2.6307568550109863,1,True,0.6600000000000001,0.6600000000000001,0.4620000000000001,0,4,2025-05-24T16:54:30.538063
20250524_165340,20250524_165340_trial_012,claude-3-5-sonnet-20240620,1,4,4.680127143859863,1,True,0.6800000000000002,0.6800000000000002,0.4760000000000001,2,5,2025-05-24T16:54:34.189585
20250524_165340,20250524_165340_trial_013,claude-3-5-sonnet-20240620,1,4,2.4785537719726562,1,True,0.7000000000000002,0.7000000000000002,0.4900000000000001,2,4,2025-05-24T16:54:39.889493
20250524_165340,20250524_165340_trial_014,claude-3-5-sonnet-20240620,1,4,2.431507110595703,1,True,0.7200000000000002,0.7200000000000002,0.5040000000000001,1,4,2025-05-24T16:54:43.388863
20250524_165340,20250524_165340_trial_015,claude-3-5-sonnet-20240620,2,4,2.499317169189453,2,True,0.6700000000000002,0.4690000000000001,0.6700000000000002,2,3,2025-05-24T16:54:46.839678
20250524_165340,20250524_165340_trial_016,claude-3-5-sonnet-20240620,1,4,2.666440010070801,1,True,0.6200000000000001,0.6200000000000001,0.43400000000000005,2,1,2025-05-24T16:54:50.359950
20250524_165340,20250524_165340_trial_017,claude-3-5-sonnet-20240620,1,3,2.9463701248168945,2,False,0.5700000000000001,0.399,0.5700000000000001,5,2,2025-05-24T16:54:54.045477
20250524_165340,20250524_165340_trial_018,claude-3-5-sonnet-20240620,1,3,4.520005941390991,2,False,0.52,0.364,0.52,1,4,2025-05-24T16:54:58.007636
20250524_165340,20250524_165340_trial_019,claude-3-5-sonnet-20240620,1,3,3.42451810836792,2,False,0.47000000000000003,0.329,0.47000000000000003,5,2,2025-05-24T16:55:03.544174
20250524_165340,20250524_165340_trial_020,claude-3-5-sonnet-20240620,1,3,2.7958121299743652,1,True,0.49000000000000005,0.49000000000000005,0.343,1,0,2025-05-24T16:55:07.985638
20250524_165340,20250524_165340_trial_021,claude-3-5-sonnet-20240620,1,3,3.825403928756714,2,False,0.51,0.357,0.51,3,1,2025-05-24T16:55:11.797710
20250524_165340,20250524_165340_trial_022,claude-3-5-sonnet-20240620,1,3,2.9088659286499023,2,False,0.53,0.371,0.53,2,4,2025-05-24T16:55:16.637864
20250524_165340,20250524_165340_trial_023,claude-3-5-sonnet-20240620,2,4,3.039961814880371,2,True,0.55,0.385,0.55,5,3,2025-05-24T16:55:20.555474
20250524_165340,20250524_165340_trial_024,claude-3-5-sonnet-20240620,1,3,3.843695878982544,1,True,0.5700000000000001,0.5700000000000001,0.399,3,1,2025-05-24T16:55:24.617279
20250524_165340,20250524_165340_trial_025,claude-3-5-sonnet-20240620,1,3,2.619852066040039,1,True,0.5900000000000001,0.5900000000000001,0.41300000000000003,0,5,2025-05-24T16:55:29.481114
20250524_165340,20250524_165340_trial_026,claude-3-5-sonnet-20240620,1,4,2.1243677139282227,1,True,0.6100000000000001,0.6100000000000001,0.42700000000000005,1,4,2025-05-24T16:55:33.111657
20250524_165340,20250524_165340_trial_027,claude-3-5-sonnet-20240620,1,4,2.7282989025115967,1,True,0.6300000000000001,0.6300000000000001,0.44100000000000006,5,1,2025-05-24T16:55:36.250688
20250524_165340,20250524_165340_trial_028,claude-3-5-sonnet-20240620,2,5,2.234863042831421,2,True,0.6500000000000001,0.45500000000000007,0.6500000000000001,4,1,2025-05-24T16:55:39.986364
20250524_165340,20250524_165340_trial_029,claude-3-5-sonnet-20240620,1,4,3.4347808361053467,1,True,0.6700000000000002,0.6700000000000002,0.4690000000000001,5,4,2025-05-24T16:55:43.231068
20250524_165340,20250524_165340_trial_030,claude-3-5-sonnet-20240620,1,4,2.2808337211608887,1,True,0.6200000000000001,0.6200000000000001,0.43400000000000005,1,3,2025-05-24T16:55:47.678999
20250524_165340,20250524_165340_trial_031,claude-3-5-sonnet-20240620,1,3,2.9205281734466553,1,True,0.5700000000000001,0.5700000000000001,0.399,2,5,2025-05-24T16:55:50.973875
20250524_165340,20250524_165340_trial_032,claude-3-5-sonnet-20240620,2,4,2.685448169708252,2,True,0.52,0.364,0.52,0,4,2025-05-24T16:55:54.914780
20250524_165340,20250524_165340_trial_033,claude-3-5-sonnet-20240620,1,3,2.6623051166534424,2,False,0.47000000000000003,0.329,0.47000000000000003,0,2,2025-05-24T16:55:58.619451
20250524_165340,20250524_165340_trial_034,claude-3-5-sonnet-20240620,1,4,3.4167141914367676,2,False,0.42000000000000004,0.294,0.42000000000000004,2,5,2025-05-24T17:12:35.025857
20250524_165340,20250524_165340_trial_035,claude-3-5-sonnet-20240620,1,3,10237.656236171722,2,False,0.37000000000000005,0.259,0.37000000000000005,2,4,2025-05-24T17:12:39.465346
20250524_165340,20250524_165340_trial_036,claude-3-5-sonnet-20240620,1,3,2.0859248638153076,1,True,0.39000000000000007,0.39000000000000007,0.273,4,0,2025-05-24T20:03:18.148175
20250524_165340,20250524_165340_trial_037,claude-3-5-sonnet-20240620,1,3,1.9917340278625488,1,True,0.4100000000000001,0.4100000000000001,0.28700000000000003,4,2,2025-05-24T20:03:21.256114
20250524_165340,20250524_165340_trial_038,claude-3-5-sonnet-20240620,1,3,2.2099547386169434,2,False,0.4300000000000001,0.30100000000000005,0.4300000000000001,2,1,2025-05-24T20:03:24.271718
20250524_165340,20250524_165340_trial_039,claude-3-5-sonnet-20240620,1,3,2.0372848510742188,2,False,0.4500000000000001,0.31500000000000006,0.4500000000000001,3,0,2025-05-24T20:03:27.501513
20250524_165340,20250524_165340_trial_040,claude-3-5-sonnet-20240620,1,3,1.9990649223327637,1,True,0.47000000000000014,0.47000000000000014,0.32900000000000007,5,3,2025-05-24T20:03:30.559694
20250524_165340,20250524_165340_trial_041,claude-3-5-sonnet-20240620,1,3,2.3155829906463623,2,False,0.49000000000000016,0.3430000000000001,0.49000000000000016,2,4,2025-05-24T20:03:33.580133
20250524_165340,20250524_165340_trial_042,claude-3-5-sonnet-20240620,1,3,2.3030338287353516,1,True,0.5100000000000001,0.5100000000000001,0.35700000000000004,3,1,2025-05-24T20:03:36.915002
20250524_165340,20250524_165340_trial_043,claude-3-5-sonnet-20240620,1,4,2.1601898670196533,2,False,0.5300000000000001,0.37100000000000005,0.5300000000000001,3,4,2025-05-24T20:03:40.238881
20250524_165340,20250524_165340_trial_044,claude-3-5-sonnet-20240620,2,4,2.3745269775390625,2,True,0.5500000000000002,0.38500000000000006,0.5500000000000002,3,1,2025-05-24T20:03:43.421501
20250524_165340,20250524_165340_trial_045,claude-3-5-sonnet-20240620,1,3,2.185681104660034,1,True,0.5700000000000002,0.5700000000000002,0.3990000000000001,0,3,2025-05-24T20:03:46.816251
20250524_165340,20250524_165340_trial_046,claude-3-5-sonnet-20240620,1,4,2.132267951965332,1,True,0.5900000000000002,0.5900000000000002,0.4130000000000001,2,0,2025-05-24T20:03:50.023049
20250524_165340,20250524_165340_trial_047,claude-3-5-sonnet-20240620,1,3,2.3633341789245605,1,True,0.6100000000000002,0.6100000000000002,0.4270000000000001,3,5,2025-05-24T20:03:53.175124
20250524_165340,20250524_165340_trial_048,claude-3-5-sonnet-20240620,2,5,2.457414150238037,2,True,0.6300000000000002,0.4410000000000001,0.6300000000000002,5,1,2025-05-24T20:03:56.562728
20250524_165340,20250524_165340_trial_049,claude-3-5-sonnet-20240620,2,4,3.660470962524414,2,True,0.6500000000000002,0.4550000000000001,0.6500000000000002,0,3,2025-05-24T20:04:00.039136
20250524_165340,20250524_165340_trial_050,claude-3-5-sonnet-20240620,1,4,2.0929691791534424,1,True,0.6000000000000002,0.6000000000000002,0.4200000000000001,1,5,2025-05-24T20:04:04.719329
